class,probs
steel arch bridge,1.7237E-06
cricket,1.71811E-06
forklift,1.71583E-06
"cinema, movie theater, movie theatre, movie house, picture palace",1.70951E-06
"panpipe, pandean pipe, syrinx",1.69583E-06
"flagpole, flagstaff",1.69132E-06
eggnog,1.68041E-06
power drill,1.67262E-06
lotion,1.64249E-06
water jug,1.6249E-06
"toilet tissue, toilet paper, bathroom tissue",1.6235E-06
"radio, wireless",1.62121E-06
drumstick,1.6175E-06
"prison, prison house",1.61085E-06
thimble,1.58897E-06
"carousel, carrousel, merry-go-round, roundabout, whirligig",1.58523E-06
cauliflower,1.5742E-06
schipperke,1.57243E-06
"dishwasher, dish washer, dishwashing machine",1.56693E-06
plate,1.55918E-06
beer glass,1.55568E-06
"violin, fiddle",1.54736E-06
butternut squash,1.53497E-06
wooden spoon,1.52724E-06
mashed potato,1.52525E-06
"chain saw, chainsaw",1.52378E-06
viaduct,1.52029E-06
"microwave, microwave oven",1.50168E-06
chest,1.49596E-06
bath towel,1.46741E-06
"valley, vale",1.45228E-06
"miniskirt, mini",1.45111E-06
"lipstick, lip rouge",1.4392E-06
stove,1.41962E-06
"hand-held computer, hand-held microcomputer",1.41347E-06
"hammerhead, hammerhead shark",1.40292E-06
"parachute, chute",1.39838E-06
isopod,1.37676E-06
"laptop, laptop computer",1.36974E-06
"cornet, horn, trumpet, trump",1.36687E-06
"meat loaf, meatloaf",1.36629E-06
totem pole,1.35434E-06
military uniform,1.32406E-06
"cellular telephone, cellular phone, cellphone, cell, mobile phone",1.31656E-06
rain barrel,1.30565E-06
"lumbermill, sawmill",1.28191E-06
airliner,1.27469E-06
"Eskimo dog, husky",1.26531E-06
hay,1.24993E-06
"can opener, tin opener",1.24127E-06
toilet seat,1.23863E-06
carton,1.23291E-06
Chihuahua,1.21615E-06
trimaran,1.21286E-06
"sax, saxophone",1.20792E-06
"vacuum, vacuum cleaner",1.2063E-06
"paddle, boat paddle",1.20245E-06
spindle,1.20048E-06
"Doberman, Doberman pinscher",1.19312E-06
"bow tie, bow-tie, bowtie",1.19127E-06
wall clock,1.18259E-06
"malamute, malemute, Alaskan malamute",1.17951E-06
trilobite,1.17603E-06
"sunglasses, dark glasses, shades",1.17425E-06
"electric ray, crampfish, numbfish, torpedo",1.17384E-06
"mailbox, letter box",1.16984E-06
window shade,1.15878E-06
"horizontal bar, high bar",1.15856E-06
hermit crab,1.15461E-06
honeycomb,1.15037E-06
"parallel bars, bars",1.13977E-06
reflex camera,1.13927E-06
trombone,1.13382E-06
"marimba, xylophone",1.12577E-06
"lycaenid, lycaenid butterfly",1.11058E-06
reel,1.1091E-06
"chocolate sauce, chocolate syrup",1.10906E-06
desktop computer,1.10795E-06
Band Aid,1.10462E-06
boathouse,1.08622E-06
"ballplayer, baseball player",1.07542E-06
safety pin,1.07499E-06
"megalith, megalithic structure",1.06061E-06
potpie,1.05842E-06
"bagel, beigel",1.04932E-06
scabbard,1.03853E-06
"loupe, jeweler's loupe",1.03643E-06
Labrador retriever,1.03379E-06
sombrero,1.02972E-06
balloon,1.02151E-06
shoji,1.01963E-06
mountain tent,1.00223E-06
"fire screen, fireguard",9.98474E-07
"computer keyboard, keypad",9.89511E-07
scuba diver,9.78806E-07
"ear, spike, capitulum",9.67086E-07
"fox squirrel, eastern fox squirrel, Sciurus niger",9.64706E-07
fountain pen,9.49467E-07
"paddlewheel, paddle wheel",9.40964E-07
"gong, tam-tam",9.30173E-07
pretzel,9.23928E-07
"tricycle, trike, velocipede",9.2317E-07
"restaurant, eating house, eating place, eatery",9.16876E-07
"mailbag, postbag",9.1683E-07
stingray,9.14905E-07
"oscilloscope, scope, cathode-ray oscilloscope, CRO",9.1472E-07
Siberian husky,9.12609E-07
corn,9.12273E-07
"grasshopper, hopper",9.09241E-07
"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",9.08476E-07
"Sealyham terrier, Sealyham",9.07377E-07
apron,9.04091E-07
teapot,8.9932E-07
"mantis, mantid",8.79897E-07
"pineapple, ananas",8.73717E-07
"pitcher, ewer",8.72896E-07
hair spray,8.70191E-07
"Angora, Angora rabbit",8.69743E-07
admiral,8.69018E-07
scorpion,8.67351E-07
maillot,8.24399E-07
"pick, plectrum, plectron",8.23595E-07
"ballpoint, ballpoint pen, ballpen, Biro",8.12634E-07
electric locomotive,8.01926E-07
dumbbell,8.00291E-07
hamper,7.89444E-07
Dutch oven,7.88435E-07
modem,7.86985E-07
French loaf,7.82214E-07
slug,7.60037E-07
"patio, terrace",7.57863E-07
strainer,7.50825E-07
"punching bag, punch bag, punching ball, punchball",7.43836E-07
"ocarina, sweet potato",7.38843E-07
EntleBucher,7.34949E-07
screwdriver,7.34536E-07
crash helmet,7.31301E-07
"stinkhorn, carrion fungus",7.27265E-07
"sandbar, sand bar",7.22939E-07
ski mask,7.05143E-07
"barn spider, Araneus cavaticus",7.00161E-07
combination lock,6.99049E-07
"flute, transverse flute",6.90124E-07
joystick,6.82508E-07
cloak,6.71743E-07
"gas pump, gasoline pump, petrol pump, island dispenser",6.6363E-07
"amphibian, amphibious vehicle",6.61997E-07
standard schnauzer,6.61953E-07
magnetic compass,6.61658E-07
"jersey, T-shirt, tee shirt",6.58719E-07
quail,6.57514E-07
fly,6.57156E-07
"promontory, headland, head, foreland",6.48168E-07
"cowboy hat, ten-gallon hat",6.35809E-07
harp,6.33678E-07
"pay-phone, pay-station",6.32139E-07
digital watch,6.13614E-07
"pug, pug-dog",6.05445E-07
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",6.02598E-07
"Siamese cat, Siamese",6.00368E-07
chainlink fence,5.89784E-07
knee pad,5.89256E-07
giant schnauzer,5.81479E-07
Weimaraner,5.68367E-07
kimono,5.65847E-07
rapeseed,5.61813E-07
"passenger car, coach, carriage",5.60396E-07
"mobile home, manufactured home",5.60244E-07
"grille, radiator grille",5.59963E-07
shower curtain,5.58137E-07
"rubber eraser, rubber, pencil eraser",5.41365E-07
"piggy bank, penny bank",5.40574E-07
ptarmigan,5.38787E-07
ox,5.30143E-07
jellyfish,5.28595E-07
weevil,5.27361E-07
"backpack, back pack, knapsack, packsack, rucksack, haversack",5.24217E-07
"timber wolf, grey wolf, gray wolf, Canis lupus",5.22577E-07
"pot, flowerpot",5.18724E-07
"Madagascar cat, ring-tailed lemur, Lemur catta",5.18289E-07
"medicine chest, medicine cabinet",5.1393E-07
steel drum,5.11519E-07
crate,5.07854E-07
"hot pot, hotpot",5.07332E-07
"cello, violoncello",4.96961E-07
"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",4.91861E-07
Great Dane,4.90517E-07
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",4.89942E-07
"hognose snake, puff adder, sand viper",4.8932E-07
crutch,4.86967E-07
guacamole,4.8568E-07
Crock Pot,4.8461E-07
"suit, suit of clothes",4.76175E-07
acorn,4.73216E-07
"black widow, Latrodectus mactans",4.72821E-07
"refrigerator, icebox",4.68996E-07
radiator,4.66466E-07
"mouse, computer mouse",4.61486E-07
"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",4.6107E-07
trifle,4.56582E-07
"bikini, two-piece",4.55197E-07
"pool table, billiard table, snooker table",4.50088E-07
cliff dwelling,4.49019E-07
"apiary, bee house",4.45709E-07
"lens cap, lens cover",4.42581E-07
banjo,4.42481E-07
chain,4.41738E-07
"recreational vehicle, RV, R.V.",4.38643E-07
printer,4.27762E-07
canoe,4.2692E-07
terrapin,4.24026E-07
sandal,4.2398E-07
"pajama, pyjama, pj's, jammies",4.23145E-07
waffle iron,4.21697E-07
"slide rule, slipstick",4.11647E-07
banded gecko,4.10408E-07
oil filter,4.09483E-07
digital clock,4.0931E-07
"robin, American robin, Turdus migratorius",4.08301E-07
sliding door,4.07854E-07
"ground beetle, carabid beetle",4.05077E-07
soup bowl,4.04981E-07
"electric fan, blower",4.02757E-07
cradle,4.0123E-07
langur,3.97536E-07
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",3.97448E-07
bell pepper,3.96858E-07
earthstar,3.96073E-07
comic book,3.94828E-07
bee,3.94475E-07
goose,3.91645E-07
"maze, labyrinth",3.85258E-07
Shih-Tzu,3.81472E-07
packet,3.80802E-07
Granny Smith,3.80052E-07
"hard disc, hard disk, fixed disk",3.78282E-07
"lynx, catamount",3.75336E-07
banana,3.72983E-07
half track,3.7238E-07
buckle,3.69781E-07
toyshop,3.69762E-07
"sea slug, nudibranch",3.65221E-07
miniature schnauzer,3.61795E-07
pelican,3.61436E-07
"plow, plough",3.58804E-07
French bulldog,3.56122E-07
desk,3.56097E-07
"dining table, board",3.55709E-07
"ruffed grouse, partridge, Bonasa umbellus",3.55623E-07
Persian cat,3.55615E-07
"Arctic fox, white fox, Alopex lagopus",3.5293E-07
"unicycle, monocycle",3.52609E-07
"organ, pipe organ",3.51981E-07
mushroom,3.51887E-07
abacus,3.4955E-07
"prairie chicken, prairie grouse, prairie fowl",3.49225E-07
"tree frog, tree-frog",3.46602E-07
bow,3.44897E-07
bassinet,3.43941E-07
"barrel, cask",3.43343E-07
"chiton, coat-of-mail shell, sea cradle, polyplacophore",3.42019E-07
velvet,3.38962E-07
fig,3.35362E-07
"hotdog, hot dog, red hot",3.35028E-07
weasel,3.34748E-07
groenendael,3.34482E-07
sarong,3.34288E-07
"chambered nautilus, pearly nautilus, nautilus",3.31822E-07
throne,3.30875E-07
"clumber, clumber spaniel",3.30705E-07
"leaf beetle, chrysomelid",3.26638E-07
"confectionery, confectionary, candy store",3.254E-07
"bearskin, busby, shako",3.25298E-07
park bench,3.2112E-07
"seat belt, seatbelt",3.20836E-07
snowmobile,3.16801E-07
"jeep, landrover",3.13384E-07
maraca,3.0874E-07
malinois,3.08594E-07
miniature pinscher,3.06514E-07
"streetcar, tram, tramcar, trolley, trolley car",3.05446E-07
"tobacco shop, tobacconist shop, tobacconist",3.0446E-07
"tow truck, tow car, wrecker",3.03821E-07
orange,3.03652E-07
"dogsled, dog sled, dog sleigh",3.01241E-07
"bonnet, poke bonnet",3.00093E-07
"garbage truck, dustcart",2.98833E-07
"pizza, pizza pie",2.98288E-07
"cocker spaniel, English cocker spaniel, cocker",2.95954E-07
pinwheel,2.95284E-07
stethoscope,2.86396E-07
Blenheim spaniel,2.85169E-07
face powder,2.84203E-07
Pomeranian,2.8262E-07
"carpenter's kit, tool kit",2.8197E-07
"ringlet, ringlet butterfly",2.76593E-07
abaya,2.75938E-07
marmot,2.7559E-07
"academic gown, academic robe, judge's robe",2.75443E-07
"sidewinder, horned rattlesnake, Crotalus cerastes",2.72836E-07
rhinoceros beetle,2.72662E-07
"German shepherd, German shepherd dog, German police dog, alsatian",2.69297E-07
basenji,2.67769E-07
burrito,2.65476E-07
"bookshop, bookstore, bookstall",2.65317E-07
minibus,2.65172E-07
muzzle,2.64188E-07
knot,2.62609E-07
fiddler crab,2.61143E-07
"Polaroid camera, Polaroid Land camera",2.59723E-07
"bullet train, bullet",2.59488E-07
Norfolk terrier,2.56639E-07
"accordion, piano accordion, squeeze box",2.56207E-07
"tabby, tabby cat",2.55698E-07
"ibex, Capra ibex",2.55096E-07
black grouse,2.51732E-07
"starfish, sea star",2.51325E-07
"coil, spiral, volute, whorl, helix",2.51257E-07
Appenzeller,2.51193E-07
"thatch, thatched roof",2.47197E-07
typewriter keyboard,2.45528E-07
"grocery store, grocery, food market, market",2.44754E-07
mud turtle,2.44429E-07
shower cap,2.44183E-07
acorn squash,2.43974E-07
space bar,2.43524E-07
sea lion,2.43493E-07
peacock,2.41251E-07
"Scotch terrier, Scottish terrier, Scottie",2.40567E-07
cabbage butterfly,2.40471E-07
"wolf spider, hunting spider",2.38873E-07
Chesapeake Bay retriever,2.38621E-07
"lawn mower, mower",2.3498E-07
badger,2.3384E-07
barbershop,2.33837E-07
"drum, membranophone, tympan",2.32721E-07
"sunscreen, sunblock, sun blocker",2.30983E-07
"long-horned beetle, longicorn, longicorn beetle",2.28841E-07
"golfcart, golf cart",2.28746E-07
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",2.26742E-07
"Cardigan, Cardigan Welsh corgi",2.26389E-07
magpie,2.26354E-07
tick,2.25939E-07
tarantula,2.2592E-07
jay,2.24486E-07
"silky terrier, Sydney silky",2.23861E-07
plate rack,2.22892E-07
"American egret, great white heron, Egretta albus",2.21057E-07
fur coat,2.20869E-07
poncho,2.168E-07
"Bouvier des Flandres, Bouviers des Flandres",2.12768E-07
bustard,2.11322E-07
"diaper, nappy, napkin",2.10178E-07
Yorkshire terrier,2.0961E-07
library,2.09458E-07
"pencil box, pencil case",2.09091E-07
"upright, upright piano",2.08338E-07
pill bottle,2.07023E-07
"gar, garfish, garpike, billfish, Lepisosteus osseus",2.06027E-07
sleeping bag,2.05156E-07
Kerry blue terrier,2.03139E-07
"gibbon, Hylobates lar",2.02994E-07
hen,2.02499E-07
yurt,2.02332E-07
running shoe,2.02216E-07
space heater,2.01561E-07
"crib, cot",2.00141E-07
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",1.9964E-07
dung beetle,1.99272E-07
neck brace,1.98231E-07
mortarboard,1.98044E-07
Brabancon griffon,1.96705E-07
"hand blower, blow dryer, blow drier, hair dryer, hair drier",1.96237E-07
bib,1.95632E-07
"Saint Bernard, St Bernard",1.95631E-07
"great grey owl, great gray owl, Strix nebulosa",1.94991E-07
Petri dish,1.94161E-07
"ostrich, Struthio camelus",1.92393E-07
"Gila monster, Heloderma suspectum",1.92181E-07
"horse cart, horse-cart",1.92025E-07
"bathing cap, swimming cap",1.91518E-07
bassoon,1.9018E-07
West Highland white terrier,1.89407E-07
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",1.89294E-07
"shoe shop, shoe-shop, shoe store",1.8925E-07
"albatross, mollymawk",1.8872E-07
moped,1.88232E-07
"lacewing, lacewing fly",1.87891E-07
strawberry,1.8746E-07
"garden spider, Aranea diademata",1.87304E-07
entertainment center,1.87173E-07
scoreboard,1.85778E-07
"orangutan, orang, orangutang, Pongo pygmaeus",1.85225E-07
"motor scooter, scooter",1.85119E-07
"wallet, billfold, notecase, pocketbook",1.84773E-07
"maillot, tank suit",1.82784E-07
"Norwegian elkhound, elkhound",1.8207E-07
custard apple,1.80514E-07
ping-pong ball,1.80331E-07
sweatshirt,1.79891E-07
consomme,1.79711E-07
"white wolf, Arctic wolf, Canis lupus tundrarum",1.79449E-07
spaghetti squash,1.79039E-07
Windsor tie,1.78911E-07
"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",1.78332E-07
"Pekinese, Pekingese, Peke",1.76832E-07
basketball,1.7584E-07
pomegranate,1.73411E-07
menu,1.72227E-07
potter's wheel,1.72076E-07
hummingbird,1.71924E-07
"white stork, Ciconia ciconia",1.71281E-07
Italian greyhound,1.7117E-07
broccoli,1.69646E-07
hamster,1.69582E-07
cheeseburger,1.69168E-07
necklace,1.69084E-07
"crossword puzzle, crossword",1.67948E-07
"kit fox, Vulpes macrotis",1.67707E-07
"feather boa, boa",1.66939E-07
"tiger shark, Galeocerdo cuvieri",1.66753E-07
"spider web, spider's web",1.66159E-07
"diamondback, diamondback rattlesnake, Crotalus adamanteus",1.65172E-07
Christmas stocking,1.64867E-07
kelpie,1.63834E-07
"butcher shop, meat market",1.63205E-07
"remote control, remote",1.62284E-07
brain coral,1.60408E-07
stone wall,1.59454E-07
Egyptian cat,1.59447E-07
"loggerhead, loggerhead turtle, Caretta caretta",1.56547E-07
trench coat,1.56519E-07
"prayer rug, prayer mat",1.56408E-07
sea urchin,1.551E-07
beagle,1.51874E-07
"ruddy turnstone, Arenaria interpres",1.51464E-07
coral reef,1.51441E-07
sock,1.51286E-07
damselfly,1.50595E-07
"grey fox, gray fox, Urocyon cinereoargenteus",1.50201E-07
"chiffonier, commode",1.50098E-07
Bedlington terrier,1.49212E-07
barber chair,1.48435E-07
whippet,1.48138E-07
"indri, indris, Indri indri, Indri brevicaudatus",1.46483E-07
"Dungeness crab, Cancer magister",1.46459E-07
boxer,1.45958E-07
football helmet,1.4534E-07
Rottweiler,1.44406E-07
"fire engine, fire truck",1.43901E-07
"rocking chair, rocker",1.43181E-07
"Afghan hound, Afghan",1.43166E-07
head cabbage,1.42354E-07
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1.41742E-07
macaque,1.41403E-07
mink,1.41061E-07
safe,1.4102E-07
"Samoyed, Samoyede",1.40759E-07
acoustic guitar,1.39063E-07
hair slide,1.36633E-07
"ram, tup",1.36584E-07
"English springer, English springer spaniel",1.36112E-07
"Dandie Dinmont, Dandie Dinmont terrier",1.33759E-07
"axolotl, mud puppy, Ambystoma mexicanum",1.32811E-07
armadillo,1.32626E-07
Greater Swiss Mountain dog,1.30657E-07
"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",1.30196E-07
"studio couch, day bed",1.3011E-07
black-and-tan coonhound,1.29565E-07
"washer, automatic washer, washing machine",1.29238E-07
"teddy, teddy bear",1.28992E-07
vulture,1.28892E-07
vine snake,1.28826E-07
"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",1.27688E-07
sturgeon,1.27009E-07
lionfish,1.26894E-07
"crayfish, crawfish, crawdad, crawdaddy",1.25879E-07
"wool, woolen, woollen",1.25875E-07
soccer ball,1.25285E-07
jack-o'-lantern,1.23931E-07
cardigan,1.23685E-07
"walking stick, walkingstick, stick insect",1.21929E-07
"disk brake, disc brake",1.20411E-07
"polecat, fitch, foulmart, foumart, Mustela putorius",1.20021E-07
"snow leopard, ounce, Panthera uncia",1.19614E-07
leafhopper,1.19025E-07
"brown bear, bruin, Ursus arctos",1.18947E-07
"worm fence, snake fence, snake-rail fence, Virginia fence",1.18074E-07
"gorilla, Gorilla gorilla",1.1724E-07
"Arabian camel, dromedary, Camelus dromedarius",1.16989E-07
"American alligator, Alligator mississipiensis",1.15996E-07
rugby ball,1.15358E-07
mosquito net,1.1472E-07
school bus,1.14324E-07
mitten,1.14205E-07
"dalmatian, coach dog, carriage dog",1.1409E-07
"racket, racquet",1.12886E-07
"Indian cobra, Naja naja",1.12845E-07
moving van,1.1279E-07
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",1.12471E-07
shopping cart,1.11939E-07
"American chameleon, anole, Anolis carolinensis",1.11523E-07
Norwich terrier,1.11495E-07
"borzoi, Russian wolfhound",1.11325E-07
"puck, hockey puck",1.10975E-07
"mountain bike, all-terrain bike, off-roader",1.10392E-07
Great Pyrenees,1.09744E-07
kuvasz,1.08732E-07
cassette,1.0863E-07
English setter,1.07882E-07
ambulance,1.07654E-07
zebra,1.06142E-07
gazelle,1.06094E-07
carbonara,1.05978E-07
lemon,1.05581E-07
"siamang, Hylobates syndactylus, Symphalangus syndactylus",1.05188E-07
"hippopotamus, hippo, river horse, Hippopotamus amphibius",1.04775E-07
triceratops,1.03623E-07
croquet ball,1.03458E-07
"night snake, Hypsiglena torquata",1.03177E-07
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1.02859E-07
"brambling, Fringilla montifringilla",1.01519E-07
tiger beetle,1.01418E-07
"Irish setter, red setter",1.01242E-07
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",1.00412E-07
"junco, snowbird",1.00404E-07
"colobus, colobus monkey",1.00154E-07
Japanese spaniel,9.81647E-08
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",9.80936E-08
bull mastiff,9.74485E-08
"odometer, hodometer, mileometer, milometer",9.69792E-08
kite,9.69639E-08
centipede,9.68765E-08
"French horn, horn",9.65017E-08
"sea cucumber, holothurian",9.58488E-08
four-poster,9.52313E-08
barbell,9.52069E-08
bluetick,9.47719E-08
"red fox, Vulpes vulpes",9.39654E-08
"harvestman, daddy longlegs, Phalangium opilio",9.38753E-08
bottlecap,9.35107E-08
gyromitra,9.05016E-08
Lakeland terrier,9.04764E-08
Gordon setter,9.01126E-08
"china cabinet, china closet",8.99979E-08
oxcart,8.99739E-08
baseball,8.9937E-08
papillon,8.9922E-08
"impala, Aepyceros melampus",8.97146E-08
wig,8.90913E-08
"file, file cabinet, filing cabinet",8.89606E-08
golden retriever,8.78196E-08
