class,probs
"pug, pug-dog",0.000224901
basketball,0.000222833
dome,0.000221531
"seashore, coast, seacoast, sea-coast",0.000221463
"Shetland sheepdog, Shetland sheep dog, Shetland",0.00021356
English foxhound,0.000210745
mortar,0.000209932
"projectile, missile",0.000206687
steel drum,0.000204475
matchstick,0.000202186
"albatross, mollymawk",0.000198593
nipple,0.000198524
"megalith, megalithic structure",0.000196135
"oboe, hautboy, hautbois",0.000195285
harp,0.000193058
Blenheim spaniel,0.000191755
obelisk,0.000190671
"corkscrew, bottle screw",0.000187883
"accordion, piano accordion, squeeze box",0.000186304
"hand-held computer, hand-held microcomputer",0.000186063
hammer,0.000185786
oxcart,0.000183933
"traffic light, traffic signal, stoplight",0.000176133
"plunger, plumber's helper",0.000174129
standard schnauzer,0.000174108
"lampshade, lamp shade",0.000172417
"iron, smoothing iron",0.000168481
marmot,0.000168396
cocktail shaker,0.000167381
water tower,0.000165215
"violin, fiddle",0.000164584
"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.00016453
hare,0.000163547
"switch, electric switch, electrical switch",0.000161025
Yorkshire terrier,0.000159159
"lighter, light, igniter, ignitor",0.000158898
"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",0.000157159
langur,0.000153512
whippet,0.00015173
"pirate, pirate ship",0.000151431
"rubber eraser, rubber, pencil eraser",0.000151392
modem,0.000147522
"Eskimo dog, husky",0.000146508
beaker,0.000145452
llama,0.000142842
English setter,0.000142477
"Saluki, gazelle hound",0.000140097
speedboat,0.000139939
coffeepot,0.000138674
"chime, bell, gong",0.000135286
lifeboat,0.000134791
"ballplayer, baseball player",0.000134765
"cello, violoncello",0.000133579
toyshop,0.000131131
vestment,0.00013067
"hook, claw",0.00012889
basenji,0.000128882
"Walker hound, Walker foxhound",0.000127702
"gas pump, gasoline pump, petrol pump, island dispenser",0.00012327
hatchet,0.000123048
"shoe shop, shoe-shop, shoe store",0.000119619
weasel,0.000119234
rifle,0.000117885
"can opener, tin opener",0.000116293
"tank, army tank, armored combat vehicle, armoured combat vehicle",0.00011553
"mobile home, manufactured home",0.00011545
water bottle,0.000113297
espresso maker,0.000111271
Great Dane,0.000109628
soap dispenser,0.000108588
"jersey, T-shirt, tee shirt",0.000108052
coffee mug,0.00010444
pole,0.000104354
"laptop, laptop computer",0.00010434
"wallet, billfold, notecase, pocketbook",0.000104255
mousetrap,0.00010327
hair spray,0.000102379
"ant, emmet, pismire",0.000102136
"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.000101225
"timber wolf, grey wolf, gray wolf, Canis lupus",0.000100348
oxygen mask,9.94801E-05
wreck,9.92513E-05
purse,9.89283E-05
beer bottle,9.86895E-05
"golfcart, golf cart",9.85176E-05
"chain saw, chainsaw",9.64794E-05
packet,9.55862E-05
drumstick,9.52784E-05
"bicycle-built-for-two, tandem bicycle, tandem",9.43504E-05
safety pin,9.42177E-05
ox,9.38616E-05
"punching bag, punch bag, punching ball, punchball",9.30314E-05
"carousel, carrousel, merry-go-round, roundabout, whirligig",9.27019E-05
"submarine, pigboat, sub, U-boat",9.23973E-05
whistle,9.13338E-05
"Afghan hound, Afghan",9.00129E-05
"ice lolly, lolly, lollipop, popsicle",8.82214E-05
"lab coat, laboratory coat",8.80977E-05
torch,8.77677E-05
"promontory, headland, head, foreland",8.75856E-05
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",8.72896E-05
palace,8.72419E-05
"grand piano, grand",8.6986E-05
"ostrich, Struthio camelus",8.67454E-05
spatula,8.60708E-05
"harvester, reaper",8.54894E-05
miniature schnauzer,8.45879E-05
"brass, memorial tablet, plaque",8.35785E-05
"thresher, thrasher, threshing machine",8.30949E-05
"microphone, mike",8.27984E-05
"titi, titi monkey",8.21753E-05
mountain tent,7.88843E-05
"quill, quill pen",7.82889E-05
"panpipe, pandean pipe, syrinx",7.80553E-05
"Norwegian elkhound, elkhound",7.75182E-05
"cleaver, meat cleaver, chopper",7.7332E-05
"teddy, teddy bear",7.72248E-05
chainlink fence,7.71519E-05
wing,7.70039E-05
Weimaraner,7.63869E-05
baboon,7.61825E-05
"assault rifle, assault gun",7.6164E-05
reflex camera,7.52442E-05
Appenzeller,7.3299E-05
window screen,7.25492E-05
desk,7.18487E-05
yawl,7.10524E-05
"recreational vehicle, RV, R.V.",7.09081E-05
"German shepherd, German shepherd dog, German police dog, alsatian",7.04189E-05
mask,6.98302E-05
"Boston bull, Boston terrier",6.96281E-05
snorkel,6.91218E-05
"English springer, English springer spaniel",6.78447E-05
"unicycle, monocycle",6.75605E-05
Greater Swiss Mountain dog,6.75218E-05
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",6.74843E-05
"lipstick, lip rouge",6.70292E-05
"borzoi, Russian wolfhound",6.68575E-05
"bathtub, bathing tub, bath, tub",6.68052E-05
buckle,6.64635E-05
"cliff, drop, drop-off",6.60516E-05
military uniform,6.58542E-05
"notebook, notebook computer",6.52802E-05
"swab, swob, mop",6.48167E-05
Bedlington terrier,6.46963E-05
"letter opener, paper knife, paperknife",6.45047E-05
vase,6.44442E-05
Labrador retriever,6.40516E-05
"flagpole, flagstaff",6.38177E-05
goblet,6.36385E-05
shovel,6.31874E-05
bath towel,6.19548E-05
"horse cart, horse-cart",6.16248E-05
"grey fox, gray fox, Urocyon cinereoargenteus",6.07634E-05
plate rack,6.06835E-05
"Doberman, Doberman pinscher",6.02826E-05
croquet ball,6.02663E-05
barn,6.00273E-05
trimaran,5.93256E-05
"silky terrier, Sydney silky",5.89872E-05
"indri, indris, Indri indri, Indri brevicaudatus",5.88902E-05
"caldron, cauldron",5.88443E-05
"dining table, board",5.80707E-05
collie,5.76914E-05
shower cap,5.75888E-05
abaya,5.74778E-05
barometer,5.74723E-05
"airship, dirigible",5.72107E-05
digital clock,5.70684E-05
"Pembroke, Pembroke Welsh corgi",5.70196E-05
"robin, American robin, Turdus migratorius",5.66115E-05
scoreboard,5.61879E-05
"fire screen, fireguard",5.49428E-05
"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",5.44412E-05
chest,5.40217E-05
volcano,5.3818E-05
maraca,5.33097E-05
"mailbag, postbag",5.30468E-05
sea lion,5.29699E-05
"pay-phone, pay-station",5.23029E-05
papillon,5.21141E-05
"Sealyham terrier, Sealyham",5.18264E-05
"mountain bike, all-terrain bike, off-roader",5.17831E-05
moving van,5.09647E-05
bulletproof vest,5.09496E-05
gondola,5.08886E-05
"medicine chest, medicine cabinet",5.07909E-05
"pop bottle, soda bottle",5.06466E-05
"hard disc, hard disk, fixed disk",5.06435E-05
throne,5.03827E-05
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",5.01167E-05
entertainment center,5.00908E-05
"remote control, remote",5.00015E-05
reel,4.99389E-05
swing,4.99181E-05
"white stork, Ciconia ciconia",4.97483E-05
"hoopskirt, crinoline",4.93229E-05
"bow tie, bow-tie, bowtie",4.8751E-05
window shade,4.76881E-05
"gibbon, Hylobates lar",4.70088E-05
wine bottle,4.69133E-05
red wine,4.66664E-05
groenendael,4.66224E-05
conch,4.61727E-05
"restaurant, eating house, eating place, eatery",4.61035E-05
running shoe,4.57068E-05
geyser,4.53924E-05
cassette,4.5337E-05
badger,4.50947E-05
"dishwasher, dish washer, dishwashing machine",4.49053E-05
muzzle,4.47232E-05
Italian greyhound,4.41457E-05
Dutch oven,4.40137E-05
screwdriver,4.38433E-05
"groom, bridegroom",4.35365E-05
"gong, tam-tam",4.34288E-05
West Highland white terrier,4.33532E-05
"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",4.27538E-05
bassoon,4.27448E-05
"breastplate, aegis, egis",4.24802E-05
neck brace,4.2423E-05
hair slide,4.22085E-05
"brassiere, bra, bandeau",4.20994E-05
toilet seat,4.2039E-05
"patas, hussar monkey, Erythrocebus patas",4.16836E-05
Loafer,4.08836E-05
lotion,4.08191E-05
Shih-Tzu,4.07123E-05
espresso,4.04704E-05
water jug,4.03977E-05
football helmet,3.99819E-05
minibus,3.95002E-05
power drill,3.92658E-05
balloon,3.92337E-05
Pomeranian,3.91353E-05
"amphibian, amphibious vehicle",3.89948E-05
Gordon setter,3.8453E-05
sliding door,3.81867E-05
"sandbar, sand bar",3.78937E-05
"rule, ruler",3.76265E-05
"ram, tup",3.76114E-05
"backpack, back pack, knapsack, packsack, rucksack, haversack",3.6847E-05
"paddlewheel, paddle wheel",3.68143E-05
padlock,3.67569E-05
"microwave, microwave oven",3.66162E-05
"apiary, bee house",3.64826E-05
"upright, upright piano",3.64425E-05
"bookshop, bookstore, bookstall",3.63323E-05
Kerry blue terrier,3.62586E-05
"scale, weighing machine",3.60041E-05
stretcher,3.55947E-05
"ocarina, sweet potato",3.54864E-05
"bikini, two-piece",3.5409E-05
beer glass,3.54038E-05
"paddle, boat paddle",3.52678E-05
"bathing cap, swimming cap",3.4947E-05
"handkerchief, hankie, hanky, hankey",3.42847E-05
"tabby, tabby cat",3.36806E-05
"Scottish deerhound, deerhound",3.34188E-05
plastic bag,3.30151E-05
"bald eagle, American eagle, Haliaeetus leucocephalus",3.29896E-05
"suit, suit of clothes",3.28338E-05
Welsh springer spaniel,3.264E-05
gazelle,3.25285E-05
"streetcar, tram, tramcar, trolley, trolley car",3.24163E-05
schipperke,3.23391E-05
apron,3.20905E-05
whiskey jug,3.19049E-05
"bakery, bakeshop, bakehouse",3.16946E-05
acoustic guitar,3.15829E-05
Chesapeake Bay retriever,3.14589E-05
planetarium,3.10631E-05
"thatch, thatched roof",3.09407E-05
pill bottle,3.08877E-05
"Old English sheepdog, bobtail",3.07404E-05
"revolver, six-gun, six-shooter",3.0427E-05
barbershop,3.03029E-05
fly,3.00869E-05
"china cabinet, china closet",3.00314E-05
"proboscis monkey, Nasalis larvatus",2.93451E-05
"pool table, billiard table, snooker table",2.92347E-05
wooden spoon,2.90608E-05
nail,2.906E-05
toy terrier,2.89381E-05
Band Aid,2.89048E-05
"patio, terrace",2.89005E-05
scuba diver,2.85677E-05
keeshond,2.84274E-05
"gasmask, respirator, gas helmet",2.82569E-05
park bench,2.80311E-05
tractor,2.80018E-05
kelpie,2.79747E-05
maillot,2.78987E-05
"racket, racquet",2.76908E-05
"parachute, chute",2.75744E-05
"Lhasa, Lhasa apso",2.75713E-05
Bernese mountain dog,2.75663E-05
Norfolk terrier,2.74637E-05
"prayer rug, prayer mat",2.73749E-05
"tricycle, trike, velocipede",2.73193E-05
jellyfish,2.72621E-05
"cockroach, roach",2.72263E-05
"cocker spaniel, English cocker spaniel, cocker",2.70577E-05
milk can,2.70298E-05
kite,2.69717E-05
"snow leopard, ounce, Panthera uncia",2.67888E-05
"Irish setter, red setter",2.65398E-05
"lumbermill, sawmill",2.63087E-05
golf ball,2.62303E-05
viaduct,2.61213E-05
Norwich terrier,2.6108E-05
macaque,2.60885E-05
carton,2.6084E-05
"computer keyboard, keypad",2.60384E-05
"greenhouse, nursery, glasshouse",2.57745E-05
German short-haired pointer,2.56812E-05
"barrow, garden cart, lawn cart, wheelbarrow",2.55409E-05
"impala, Aepyceros melampus",2.53385E-05
"orangutan, orang, orangutang, Pongo pygmaeus",2.52907E-05
bull mastiff,2.52143E-05
"ice cream, icecream",2.52006E-05
spoonbill,2.5139E-05
rapeseed,2.4936E-05
gown,2.47758E-05
shower curtain,2.47597E-05
"great grey owl, great gray owl, Strix nebulosa",2.46755E-05
sleeping bag,2.46252E-05
Rottweiler,2.44656E-05
go-kart,2.44469E-05
"Arctic fox, white fox, Alopex lagopus",2.43653E-05
wig,2.43584E-05
"stopwatch, stop watch",2.42571E-05
ladle,2.41415E-05
"mailbox, letter box",2.40801E-05
"wolf spider, hunting spider",2.40286E-05
boxer,2.39634E-05
tarantula,2.39173E-05
"king penguin, Aptenodytes patagonica",2.38012E-05
black-and-tan coonhound,2.37527E-05
"Dungeness crab, Cancer magister",2.3657E-05
"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",2.35955E-05
"miniskirt, mini",2.35451E-05
combination lock,2.34984E-05
wok,2.33817E-05
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",2.33409E-05
"brambling, Fringilla montifringilla",2.33251E-05
"crossword puzzle, crossword",2.32628E-05
airliner,2.31976E-05
"Ibizan hound, Ibizan Podenco",2.31839E-05
tile roof,2.30319E-05
Border collie,2.2974E-05
"pitcher, ewer",2.29614E-05
sewing machine,2.28442E-05
"ruddy turnstone, Arenaria interpres",2.25277E-05
"guinea pig, Cavia cobaya",2.23521E-05
"wallaby, brush kangaroo",2.19289E-05
tennis ball,2.15464E-05
broom,2.14785E-05
Leonberg,2.1295E-05
"picket fence, paling",2.12918E-05
Brittany spaniel,2.11812E-05
cardoon,2.11592E-05
"African grey, African gray, Psittacus erithacus",2.10098E-05
"tiger, Panthera tigris",2.09724E-05
face powder,2.0961E-05
"mouse, computer mouse",2.09507E-05
beaver,2.07529E-05
"bobsled, bobsleigh, bob",2.06662E-05
"cheetah, chetah, Acinonyx jubatus",2.06423E-05
sandal,2.06284E-05
half track,2.05847E-05
"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",2.05838E-05
zebra,2.03923E-05
"diaper, nappy, napkin",2.03838E-05
sarong,2.03805E-05
cuirass,2.03045E-05
hamper,2.02784E-05
ptarmigan,2.02091E-05
snowmobile,2.01922E-05
"dingo, warrigal, warragal, Canis dingo",2.01471E-05
"Saint Bernard, St Bernard",2.00273E-05
sombrero,2.00085E-05
"hammerhead, hammerhead shark",2.00038E-05
bib,2.00029E-05
parking meter,1.98626E-05
stethoscope,1.97956E-05
fountain pen,1.97478E-05
Border terrier,1.97133E-05
rain barrel,1.95997E-05
"barn spider, Araneus cavaticus",1.95993E-05
rotisserie,1.95036E-05
pillow,1.93941E-05
"doormat, welcome mat",1.9339E-05
sundial,1.92303E-05
"jean, blue jean, denim",1.92254E-05
fiddler crab,1.92215E-05
oil filter,1.9066E-05
kimono,1.89861E-05
cowboy boot,1.89422E-05
hamster,1.88916E-05
"odometer, hodometer, mileometer, milometer",1.887E-05
"lens cap, lens cover",1.88312E-05
"Pekinese, Pekingese, Peke",1.87189E-05
Great Pyrenees,1.86607E-05
Brabancon griffon,1.86177E-05
"shield, buckler",1.85799E-05
Rhodesian ridgeback,1.85002E-05
tape player,1.8422E-05
wire-haired fox terrier,1.82734E-05
"plow, plough",1.81571E-05
malinois,1.79741E-05
"snowplow, snowplough",1.76679E-05
safe,1.76442E-05
spindle,1.75981E-05
abacus,1.7318E-05
Japanese spaniel,1.73003E-05
"spider monkey, Ateles geoffroyi",1.72629E-05
"colobus, colobus monkey",1.7204E-05
"racer, race car, racing car",1.71503E-05
"hyena, hyaena",1.70946E-05
boathouse,1.70209E-05
shopping basket,1.70178E-05
"frying pan, frypan, skillet",1.69569E-05
digital watch,1.6841E-05
magnetic compass,1.67378E-05
shoji,1.66238E-05
coral reef,1.66098E-05
"American egret, great white heron, Egretta albus",1.6591E-05
"tobacco shop, tobacconist shop, tobacconist",1.64931E-05
"coyote, prairie wolf, brush wolf, Canis latrans",1.62807E-05
rugby ball,1.62454E-05
vault,1.60783E-05
"Dandie Dinmont, Dandie Dinmont terrier",1.60464E-05
barber chair,1.6037E-05
Windsor tie,1.59887E-05
stove,1.59101E-05
bee,1.58129E-05
fur coat,1.57286E-05
umbrella,1.56669E-05
Sussex spaniel,1.56104E-05
"bannister, banister, balustrade, balusters, handrail",1.55956E-05
"hotdog, hot dog, red hot",1.55764E-05
plate,1.54974E-05
giant schnauzer,1.53075E-05
"jeep, landrover",1.52939E-05
"Airedale, Airedale terrier",1.52811E-05
"clumber, clumber spaniel",1.51656E-05
paper towel,1.51594E-05
"French horn, horn",1.50689E-05
vulture,1.50294E-05
"meat loaf, meatloaf",1.50021E-05
volleyball,1.49022E-05
otter,1.47654E-05
overskirt,1.47347E-05
"vacuum, vacuum cleaner",1.46123E-05
Lakeland terrier,1.45556E-05
sock,1.45072E-05
"guenon, guenon monkey",1.43718E-05
"barrel, cask",1.43E-05
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",1.42446E-05
"radio, wireless",1.378E-05
"tub, vat",1.37168E-05
hay,1.3682E-05
"bucket, pail",1.36714E-05
printer,1.36642E-05
lionfish,1.36425E-05
"seat belt, seatbelt",1.36102E-05
mongoose,1.36058E-05
French bulldog,1.35412E-05
"ibex, Capra ibex",1.33491E-05
Tibetan mastiff,1.30579E-05
maypole,1.2923E-05
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",1.28977E-05
golden retriever,1.2858E-05
"maillot, tank suit",1.28201E-05
"refrigerator, icebox",1.25654E-05
"chimpanzee, chimp, Pan troglodytes",1.2533E-05
"limpkin, Aramus pictus",1.24745E-05
"spotted salamander, Ambystoma maculatum",1.24627E-05
scorpion,1.2202E-05
"house finch, linnet, Carpodacus mexicanus",1.21739E-05
"organ, pipe organ",1.21317E-05
"maze, labyrinth",1.20605E-05
"fire engine, fire truck",1.20523E-05
canoe,1.2011E-05
Petri dish,1.18862E-05
"studio couch, day bed",1.18331E-05
"cairn, cairn terrier",1.1758E-05
"Scotch terrier, Scottish terrier, Scottie",1.17331E-05
"Bouvier des Flandres, Bouviers des Flandres",1.17008E-05
"toilet tissue, toilet paper, bathroom tissue",1.16924E-05
cock,1.15921E-05
teapot,1.15754E-05
"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",1.15032E-05
"ear, spike, capitulum",1.14946E-05
"hand blower, blow dryer, blow drier, hair dryer, hair drier",1.14273E-05
"black-footed ferret, ferret, Mustela nigripes",1.14038E-05
dough,1.13978E-05
corn,1.12911E-05
"squirrel monkey, Saimiri sciureus",1.12761E-05
scabbard,1.1274E-05
kuvasz,1.12701E-05
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1.11743E-05
chain,1.11119E-05
"oystercatcher, oyster catcher",1.11041E-05
"piggy bank, penny bank",1.10557E-05
turnstile,1.093E-05
banana,1.09098E-05
"Polaroid camera, Polaroid Land camera",1.09017E-05
"wardrobe, closet, press",1.0875E-05
"bolo tie, bolo, bola tie, bola",1.08411E-05
bookcase,1.07923E-05
Persian cat,1.06151E-05
knee pad,1.05858E-05
trench coat,1.0525E-05
"electric fan, blower",1.04433E-05
cup,1.02358E-05
"ballpoint, ballpoint pen, ballpen, Biro",1.02338E-05
"dam, dike, dyke",1.01577E-05
"file, file cabinet, filing cabinet",1.01087E-05
Irish wolfhound,1.00826E-05
redbone,1.00496E-05
"hog, pig, grunter, squealer, Sus scrofa",1.00211E-05
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",9.98994E-06
Australian terrier,9.91322E-06
honeycomb,9.87976E-06
marmoset,9.8529E-06
macaw,9.77971E-06
"butcher shop, meat market",9.74503E-06
"prairie chicken, prairie grouse, prairie fowl",9.73099E-06
ambulance,9.70896E-06
school bus,9.66709E-06
"stinkhorn, carrion fungus",9.59564E-06
"crib, cot",9.57064E-06
"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",9.45425E-06
"three-toed sloth, ai, Bradypus tridactylus",9.44596E-06
ping-pong ball,9.41433E-06
toy poodle,9.32061E-06
hen,9.27282E-06
goose,9.2484E-06
"bearskin, busby, shako",9.2036E-06
cloak,9.14885E-06
Christmas stocking,9.12702E-06
"puck, hockey puck",9.12504E-06
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",9.00281E-06
"Newfoundland, Newfoundland dog",8.99744E-06
"axolotl, mud puppy, Ambystoma mexicanum",8.90174E-06
"white wolf, Arctic wolf, Canis lupus tundrarum",8.8878E-06
measuring cup,8.86562E-06
"black stork, Ciconia nigra",8.80358E-06
"Staffordshire bullterrier, Staffordshire bull terrier",8.74314E-06
mixing bowl,8.7325E-06
cliff dwelling,8.72329E-06
Egyptian cat,8.60923E-06
tiger cat,8.581E-06
strainer,8.55125E-06
mitten,8.5105E-06
"red-backed sandpiper, dunlin, Erolia alpina",8.48816E-06
"lycaenid, lycaenid butterfly",8.45397E-06
cassette player,8.35481E-06
"sunscreen, sunblock, sun blocker",8.23114E-06
"affenpinscher, monkey pinscher, monkey dog",8.21075E-06
hummingbird,8.18293E-06
"prison, prison house",8.18291E-06
"valley, vale",8.12828E-06
"tree frog, tree-frog",8.12062E-06
miniature pinscher,8.0533E-06
crate,7.95976E-06
"slide rule, slipstick",7.9387E-06
dowitcher,7.86371E-06
"pineapple, ananas",7.85104E-06
"limousine, limo",7.84106E-06
"quilt, comforter, comfort, puff",7.72965E-06
ski mask,7.66412E-06
pretzel,7.63958E-06
"American alligator, Alligator mississipiensis",7.59564E-06
"loggerhead, loggerhead turtle, Caretta caretta",7.5683E-06
mortarboard,7.40606E-06
"gar, garfish, garpike, billfish, Lepisosteus osseus",7.39833E-06
"chocolate sauce, chocolate syrup",7.27046E-06
"goldfish, Carassius auratus",7.1969E-06
cradle,7.08383E-06
bassinet,7.07669E-06
Irish water spaniel,7.0574E-06
hermit crab,7.03883E-06
soccer ball,7.0306E-06
"pot, flowerpot",7.02793E-06
steam locomotive,7.01251E-06
"polecat, fitch, foulmart, foumart, Mustela putorius",6.99701E-06
"kit fox, Vulpes macrotis",6.99597E-06
"goldfinch, Carduelis carduelis",6.96969E-06
Crock Pot,6.92592E-06
"gorilla, Gorilla gorilla",6.91827E-06
soft-coated wheaten terrier,6.83588E-06
"diamondback, diamondback rattlesnake, Crotalus adamanteus",6.7781E-06
bubble,6.76319E-06
sea snake,6.74658E-06
sturgeon,6.72506E-06
"garden spider, Aranea diademata",6.61102E-06
crane,6.58426E-06
knot,6.5497E-06
cauliflower,6.53196E-06
black grouse,6.48183E-06
"cab, hack, taxi, taxicab",6.47002E-06
hornbill,6.42295E-06
menu,6.4085E-06
"cicada, cicala",6.39904E-06
"pizza, pizza pie",6.37741E-06
bow,6.31013E-06
poncho,6.19142E-06
"wool, woolen, woollen",6.18658E-06
potter's wheel,6.18027E-06
pickelhaube,6.16292E-06
"chiffonier, commode",6.14215E-06
jay,6.09597E-06
"red fox, Vulpes vulpes",6.01427E-06
"leopard, Panthera pardus",5.91216E-06
"bloodhound, sleuthhound",5.90275E-06
"cowboy hat, ten-gallon hat",5.89869E-06
Mexican hairless,5.89835E-06
bolete,5.89465E-06
"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",5.88877E-06
"American lobster, Northern lobster, Maine lobster, Homarus americanus",5.88274E-06
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",5.88211E-06
"frilled lizard, Chlamydosaurus kingi",5.85715E-06
standard poodle,5.85378E-06
typewriter keyboard,5.79562E-06
"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",5.7663E-06
Irish terrier,5.75997E-06
crash helmet,5.67331E-06
sorrel,5.67217E-06
quail,5.66021E-06
mink,5.6388E-06
"black swan, Cygnus atratus",5.59978E-06
CD player,5.59898E-06
minivan,5.50888E-06
isopod,5.48864E-06
"lawn mower, mower",5.44536E-06
leafhopper,5.43168E-06
"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",5.38998E-06
"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",5.30367E-06
pinwheel,5.22129E-06
folding chair,5.21291E-06
sweatshirt,5.19838E-06
space bar,5.1607E-06
warthog,5.11864E-06
electric locomotive,5.11784E-06
convertible,5.11098E-06
mushroom,5.09701E-06
broccoli,5.00567E-06
hartebeest,5.00468E-06
"ruffed grouse, partridge, Bonasa umbellus",4.91714E-06
cardigan,4.91419E-06
"worm fence, snake fence, snake-rail fence, Virginia fence",4.89099E-06
"dishrag, dishcloth",4.87905E-06
cricket,4.84707E-06
shopping cart,4.81478E-06
"clog, geta, patten, sabot",4.8044E-06
"Samoyed, Samoyede",4.80323E-06
"barracouta, snoek",4.77501E-06
"grocery store, grocery, food market, market",4.76788E-06
